key,en,zh
ui.dialogue.empty,The conversation ends here.,对话结束。
ui.dialogue.choices_prompt,Make a choice:,请选择：
ui.save.title,SAVE / LOAD,存档/读档
ui.save.empty,No saved games found.,未发现存档。
ui.save.saved,saved,已存档
ui.save.empty_slot,empty,空
ui.save.footer,Tab to close,按 Tab 关闭
ui.tutorial.step_1,WASD or arrow keys to move,WASD 或方向键移动
ui.tutorial.step_2,Press E near NPCs or terminals to interact,靠近 NPC 或终端后按 E 互动
ui.tutorial.step_3,In battle, press 1/2/3 to attack with that slot's weapon,战斗中按 1/2/3 用对应槽位武器攻击
ui.tutorial.step_4,C opens the Codex (story fragments) | M toggles auto-mode,按 C 打开图鉴（剧情碎片）| 按 M 切换自动模式
ui.tutorial.step_5,Q cycles your equipped mech part (Torso/Legs/Arms),按 Q 切换机甲部件（躯干/腿/手臂）
ui.tutorial.step_6,Explore terminals to find fragments before beating the boss,击败 BOSS 前探索终端收集碎片
ui.tutorial.esc_to_skip, (ESC to skip),（按 ESC 跳过）
ui.prompt.interact,[E],[E]
ui.terminal.marker_label,TERMINAL,终端
ui.npc.marker_label,NPC,NPC
ui.breakable.marker_label,?,?
ui.hint.player_pos,Player at (%d, %d),玩家位于 (%d, %d)
ui.mech_bay.title,MECH BAY,机甲库
ui.mech_bay.close_hint,"[M] Close","[M] 关闭"
ui.mech_bay.active,Active,当前
ui.mech_bay.locked,Locked,未解锁
ui.mech_bay.hp_label,"HP: %d/%d","HP: %d/%d"
ui.mech_bay.pilot_label,"pilot: %s","驾驶员: %s"
ui.mech_bay.no_pilot,"pilot: —","驾驶员: —"
ui.bounty_board.title,BOUNTY BOARD,赏金板
ui.bounty_board.status_available,AVAILABLE,可接取
ui.bounty_board.status_accepted,ACCEPTED,已接取
ui.bounty_board.status_completed,COMPLETED,已完成
ui.bounty_board.status_failed,FAILED,失败
ui.bounty_board.status_abandoned,ABANDONED,已放弃
ui.bounty_board.threat_label,"Threat: %d","威胁: %d"
ui.bounty_board.reward_label,"Reward: %d gold","奖励: %d 金币"
ui.bounty_board.level_label,"Level: %d","推荐等级: %d"
ui.bounty_board.plot_marker,[PLOT],[剧情]
ui.bounty_board.done_marker,"[DONE]","[完成]"
ui.racing_arena.title,RACING ARENA,竞速场
ui.racing_arena.gold_label,"Gold: %d","金币: %d"
ui.racing_arena.tracks_label,TRACKS,赛道
ui.racing_arena.mechs_label,RACING MECHS,竞速机甲
ui.racing_arena.bet_label,BET,下注
ui.racing_arena.bet_value,"Bet: %dg","下注: %d 金币"
ui.racing_arena.bet_max,"Bet: %dg (MAX)","下注: %d 金币 (最大)"
ui.racing_arena.race_button,PLACE BET & RACE,下注并竞速
ui.racing_arena.race_in_progress,Race in progress!,竞速进行中！
ui.racing_arena.winner_label,"WINNER: %s (%.1fs)","胜者: %s (%.1f秒)"
ui.racing_arena.you_won,"You won! Payout: %d gold","你赢了！赔付: %d 金币"
ui.racing_arena.you_lost,You lost. Better luck next time.,你输了。下次好运。
ui.race_animation.title,RACE IN PROGRESS,竞速进行中
ui.race_animation.skip_hint,"[SPACE] Skip | Auto-close in 8s","[空格] 跳过 | 8秒后自动关闭"
ui.post_credit.ending_a_title,仁慈的终结,仁慈的终结
ui.post_credit.ending_a_subtitle,The Merciful End,仁慈的终结
ui.post_credit.ending_a_years,"10 years later","十年后"
ui.post_credit.ending_b_title,循环延续,循环延续
ui.post_credit.ending_b_subtitle,The Cycle Continues,循环延续
ui.post_credit.ending_b_years,"1,000 years later","一千年后"
ui.post_credit.ending_c_title,融合,融合
ui.post_credit.ending_c_subtitle,Fusion,融合
ui.post_credit.ending_c_years,"50 years later","五十年后"
ui.post_credit.ending_d_title,隐藏之路,隐藏之路
ui.post_credit.ending_d_subtitle,The Hidden Path,隐藏之路
ui.post_credit.ending_d_years,"1 year later","一年后"
ui.cangqiong.already_inherited,"[苍穹号 has already been inherited]","[苍穹号已被继承]"
ui.cangqiong.bond_text,"The bond is established.","连接已建立。"
ui.cangqiong.received_text,"苍穹号 is now in your roster. Open the Mech Bay (M key) to see your 4 mechs and assign pilots.","苍穹号已加入你的机甲库。按 M 键打开机甲库查看你的 4 台机甲并分配驾驶员。"
ui.hallucination.decoy_label,?,?
ui.clinic.gold_label,"Gold: %d","金币: %d"
ui.clinic.revival_button,"Revive (%d gold)","复活 (%d 金币)"
ui.quest_board.title,QUEST BOARD (Q to open),任务板 (按 Q 打开)
ui.quest_board.tab_active,Active,进行中
ui.quest_board.tab_available,Available,可接取
ui.quest_board.tab_completed,Completed,已完成
ui.quest_board.sat_header,── Satellite %d ──,── %d 号卫星 ──
ui.quest_board.status_plot,[PLOT] ,[剧情] 
ui.quest_board.status_done,[DONE] ,[完成] 
ui.quest_board.status_failed,[FAILED] ,[失败] 
ui.quest_board.choice_compassionate,[choice: compassionate],[选择: 仁慈]
ui.quest_board.choice_pragmatic,[choice: pragmatic],[选择: 务实]
ui.quest_board.choice_ruthless,[choice: ruthless],[选择: 残忍]
quest.q1.title,Rescue the Scavenger Leader,救援劫掠者首领
quest.q1.description,Scavenger leader captured in a collapsed cave.,劫掠者首领被困在坍塌的洞穴中。
quest.q2.title,Ice Hermit's Relic,冰隐士遗物
quest.q2.description,Hermit guards an ancient artifact.,隐士守护着一件远古遗物。
quest.q3.title,Malfunctioning Drone Ambush,故障无人机
quest.q3.description,Six salvage drones went autonomous.,六台打捞无人机失控。
quest.q4.title,Hive Survivor's Trust,蜂巢幸存者的信任
quest.q4.description,A survivor in the lower hive.,蜂巢下层有一名幸存者。
quest.q5.title,Fungal Infection Cure,真菌感染治愈
quest.q5.description,Scientist needs live fungal spores.,科学家需要活体真菌孢子。
quest.q6.title,Queen's Ambrosia,蜂后王浆
quest.q6.description,Royal jelly from the dying queen.,垂死蜂后的王浆。
quest.q7.title,Veteran's Arsenal,老兵军火库
quest.q7.description,Pre-Rift weapons cache discovered.,发现了战前的武器库。
quest.q8.title,AI Fragment Merge,人工智能残片合并
quest.q8.description,Damaged AI core found.,找到受损的 AI 核心。
quest.q9.title,War Orphan's Home,战争孤儿归乡
quest.q9.description,"A child, alone since the war.",一个战后就独自一人的孩子。
quest.q10.title,Creator's Premonition,造物者的预示
quest.q10.description,A vision of the Creator in the chamber.,在密室中看见造物者的幻象。
quest.q11.title,Cangqiong's Legacy,苍穹号遗志
quest.q11.description,Marlow's last will: 苍穹号's fate.,马洛遗愿：苍穹号的归属。
quest.q12.title,???,???
quest.q12.description,A hidden post-game challenge.,一个隐藏的通关后挑战。
ui.quest_board.q12_locked,[Locked: complete all 35 truths + ending A or B],[锁定：需集齐 35 真相 + 达成结局 A 或 B]
